title	anidb	anilist	animenewsnetwork	animeplanet	anisearch	annict	imdb	kaize	kaize_id	kitsu	livechart	myanimelist	nautiljon	nautiljon_id	notify	otakotaku	shikimori	shoboi	silveryasha	simkl	themoviedb	trakt	trakt_type	trakt_season
!NVADE SHOW!		142051		raise-a-suilen-nvade-show				nvade-show	19927	47450		51478					51478							
"""0"""	10143	102416		chiaki-kuriyama-0	9010			0	2371	8925		20707			Ff1bpKmmR		20707			48858				
"""1-punkan dake Furete mo Ii yo..."" Share House no Himitsu Rule."		179333			20004	13632						60629					60629	7336	5742					
"""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu"	3689	185879		aesop-no-ohanashi-yori-ushi-to-kaeru-yokubatta-inu	1789			aesop-no-ohanashi-yori-ushi-to-kaeru-yokubatta-inu	2734	9179		25627			eM1-pKmiR		25627			41243				
"""Ai"" wo Taberu"				ai-wo-taberu						47627		54496					54496							
"""Anata wo Hitokoto de Arawashite Kudasai"" no Shitsumon ga Nigate da."	17129	143612	25117	anata-wo-hitokoto-de-arawashite-kudasai-no-shitsumon-ga-nigate-da	17000	9271		anata-wo-hitokoto-de-arawashite-kudasai-no-shitsumon-ga-nigate-da	2541	45982	11017	50762	anata+wo+hitokoto+de+arawashite+kudasai+-+no+shitsumon+ga+nigate+da.	10933		2267	50762		3570	1824792		767993	movies	
"""Ayakai Shima"" e Youkoso! Mitaman no Ayakashima Kankou Annai"		169087		ayakai-shima-e-youkoso-mitaman-no-ayakashima-kankou-annai		11925				47667	12190	55754					55754							
"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi"	7294	7669	11684	bungaku-shoujo-kyou-no-oyatsu-hatsukoi	5970	10741		bungaku-shoujo-kyou-no-oyatsu-hatsukoi	585	5078	5549	7669	bungaku+shoujo+-+kyou+no+oyatsu+-+hatsukoi	3117	oTdkpKiig		7669			37286				
"""Bungaku Shoujo"" Memoire"	7441	8481		bungaku-shoujo-memoire	6169	10742		bungaku-shoujo-memoire	584	5352	5640	8481	bungaku+shoujo+-+memoire	2854	UBTmtKiiR		8481			40553				
"""Bungaku Shoujo"" Movie"	6959	6408	10815	bungaku-shoujo-movie	5387	3635	tt1546649	bungaku-shoujo-movie	583	4550	4198	6408			UUie5KimR		6408	2201	1750	38239		43457	movies	
"""Calpis"" Hakkou Monogatari"		138257		calpis-hakkou-monogatari	18573			calpis-hakkou-monogatari	3488	41893		38045			NeI-pv0iR		38045							
"""Eiji"""	4317	6076	3397	eiji	6068	12014		eiji	2414	4416		6076			lcAq5Fmig		6076			37438				
"""Eikou Naki Tensai-tachi"" Kara no Monogatari"	12936			eikou-naki-tensai-tachi-kara-no-monogatari	12361	11972		eikou-naki-tensai-tachi-kara-no-monogatari	3492	40654	2696	35025	-eikou+naki+tensai-tachi-+kara+no+monogatari	7188	tZ-DhFmmR		35025			666595				
"""Eiyuu"" Kaitai"	12142	21829	18735	eiyuu-kaitai	11499	5030		eiyuu-kaitai	3532	12654	2200	33363	-eiyuu-+kaitai	5579	cLhmhFiiR		33363			588987				
"""Hataraku"" no 100-nenshi"		140882		hataraku-no-100-nenshi	17481			hataraku-no-100-nenshi	7217	45470		49668					49668							
"""hitman"" bang: I=Fantasy"				hitman-bang-i-equals-fantasy						45635														
"""Hitori de Ikirare Sou"" tte Sore tte Nee, Homete Iru no?"					18676																			
"""Inochi Sketch"" Movie Jabow x Mameshiba Collab CM"				inochi-sketch-x-mameshiba				inochi-sketch-movie-jabow-x-mameshiba-collab-cm		47870		41060					41060							
"""Kinako"" Movie x Mameshiba"				kinako-movie-x-mameshiba				kinako-movie-x-mameshiba		41577		35632					35632							
"""Kiss Dekiru Gyouza"" Movie x Mameshiba"				kiss-dekiru-gyoza-x-mameshiba-movie						41274		37843			ZmJVj6niR		37843							
"""Mahouka Koukou no Rettousei"" Yori Shinnen no Goaisatsu 2025"										49471		60669					60669							
"""Moving in 3D! Usable ♪ Kensaku and Engine"												59601					59601							
"""Omae Gotoki ga Maou ni Kateru to Omouna"" to Yuusha Party wo Tsuihou sareta node, Outo de Kimama ni Kurashitai"	19310	191718		roll-over-and-die-i-will-fight-for-an-ordinary-life-with-my-love-and-cursed-sword	20475						13149	61587	-omae+gotoki+ga+maou+ni+kateru+to+omou+na-+to+yuusha+party+wo+tsuihou+sareta+no+de,+outo+de+kimama+ni+kurashitai	13365			61587			2765276				
"""Parade"" de Satie"	14586	101905		parade-de-satie				parade-de-satie	4719	12943		34595			Kk-ZhKiiR		34595			1190971				
"""Pokemon Shirt Sizing"" Concept Movie"				pokemon-shirt-sizing-concept-movie						48739		58288					58288							
"""R100"" x Mameshiba Original Manners"				r100-x-mameshiba-original-manners	19915			r100-x-mameshiba-original-manners	7220	41829		37626					37626							
"""Star""t"				irodorimidori-star-t	18459					44893		41090					41090							
"""Tokyo"""		113199		tokyo						43145		38748					38748							
"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku"	15157	126275	24145	star-blazers-space-battleship-yamato-2202-movie	15722	7321		uchuu-senkan-yamato-to-iu-jidai-seireki-2202-nen-no-sentaku	4895	44693	10165	40554			UBsE9dKGg		40554			1188043		618957	movies	
#1		151646		number-1				-1	2379	46718		52270					52270							
#Anime Is Energy					18345																			
#Aqua Iro Palette		128539		aqua-minato-aqua-iro-palette				aqua-iro-palette	4811	43787		51481					51481							
#Compass			26686	compass	20034	10779		compass		49830	12648	38603	-compass	8335			38603							
#Compass 2.0: Sentou Setsuri Kaiseki System	17754	158287	26687	compass-20-animation-project	18574	10780		compass-20-sentou-setsuri-kaiseki-system	22381	49825	11696	53762	-compass+2.0+-+sentou+setsuri+kaiseki+system	11643	cmWl5aw4g	2959	53762	7370	5469	2049570		252825	shows	1
#holoEN3DRepeat										47617														
#Ima made de Ichiban Yokatta Sex The Animation		146951			17271							51723					51723							
#Mugen ni Tomaranai		178402																						
'Skool Luv Affair' Comeback Trailer										48679		55928					55928							
'Twas the Night Before Christmas										43395														
(a long day of) Mr. Calpaccio				a-long-day-of-mr-calpaccio				a-long-day-of-mr-calpaccio	3489	41656		36734					36734							
(K)NoW_NAME: Harvest				knowname-harvest																				
(K)NoW_NAME: Knew day				know-name-knew-day																				
(Making of) Evangelion: Another Impact				making-of-evangelion-another-impact																				
(Mi) Liu				stray				mi-liu		47821		52691					52691							
(OO)				oo				oo		46266		51268					51268							
(Title to be Announced)		187479																						
** Kouhai		112936			14740							40658					40658		4499					
*Luna: classroom				luna-classroom																				
*Luna: Main Character				luna-main-character																				
-Socket-				socket								59356					59356							
......		166213		x0o0x-dotdotdotdotdotdot						47780		56036					56036							
.hack//G.U. Returner	5391	2928	9179	hack-g-u-returner	4410	12183		hackgu-returner	6745	2652	4717	2928	.hack--g.u.+returner	690	NCh85FiiR		2928			37884				
.hack//G.U. Trilogy	5459	3269	8719	hack-g-u-trilogy	4491	12184	tt1164545	hackgu-trilogy	6746	2895	4721	3269	.hack--g.u.+trilogy	689	z5OQcKiiR		3269		2724	41283		16199	movies	
.hack//G.U. Trilogy: Parody Mode		4469		hack-g-u-trilogy-parody	4664			hackgu-trilogy-parody-mode	6747	3625	6496	4469	.hack--g.u.+trilogy+-+parody+mode	3690	-Tlu5KimR		4469							
.hack//Gift	1135	454	3613	hack-gift	2559	12182		hackgift	6461	416	5416	454			srnT5KmmR		454		3649	38733				
.hack//Intermezzo		1143	3532	hack-sign-intermezzo	3627			hackintermezzo	6272	1024	5128	1143	.hack--intermezzo	565	u6zb5Fmig		1143		3633					
.hack//Liminality	222	299	709	hack-liminality	159	2866		hackliminality	1054	274	5621	299	.hack--liminality	1310	PXo2cKimR		299	641	3326	36360				
.hack//Quantum	7883	9332	11809	hack-quantum	6438	2867		hackquantum	1053	5680	4724	9332	.hack--quantum	1929	FEXWtKmmR		9332	2155		37194				
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!		10390		hack-quantum-go-our-chim-chims	7157			hackquantum-sore-ike-bokura-no-chimuchimu-chan	6748	6161	6697	10390			r9q7tFmiR		10390							
.hack//Roots	4324	873	6248	hack-roots	3564	1401		hackroots	1058	773	4186	873	.hack--roots	255	z9uA5Fiig		873	865		40426		8818	shows	3
.hack//Sign	24	48	605	hack-sign	3491	1402		hacksign	1059	30	3828	48			xpIt5Fiig		48	466	2196	37947		8818	shows	1
.hack//Tasogare no Udewa Densetsu	447	298	1963	hack-legend-of-the-twilight	1650	1403		hacktasogare-no-udewa-densetsu	2725	273	4682	298	.hack--tasogare+no+udewa+densetsu	159	EET25Fimg		298	465	3325	38022		8818	shows	2
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou		1994			7181			hacktasogare-no-udewa-densetsu-offline-de-aimashou	6556	1795	5891	1994			NKDYcFimg		1994							
.hack//The Movie: Sekai no Mukou ni	8606	11375	13373	hack-the-movie	7268	3481	tt2064704	hackthe-movie-sekai-no-mukou-ni	6749	6502	5077	11375			kIhSpKimg		11375	2419		40414		87752	movies	
.hack//Unison		1487	3770	hack-sign-unison	3626			hackunison	6274	1333	5159	1487	.hack--unison	1490	AZFa5Kmig		1487		3632					
.hack//Versus: The Thanatos Report		15219		hack-versus-the-thanatos-report	8111			hackversus-the-thanatos-report	6750	7232	5285	15219	.hack--versus+-+the+thanatos+report	3692	jAUdtKmig		15219		3650			136806	movies	
0 Hao Sushe		109194		0-hao-sushe				0-hao-sushe				47653					47653							
0 Man			5376	0-man		15563		0-man		47061		52399					52399							
0-saiji Start Dash Monogatari	18736	177879	32791	head-start-at-birth	19332	13140		0-saiji-start-dash-monogatari	24938	49043	12685	58985	0-saiji+start+dash+monogatari	12755	_pXMSfUSg	2859	58985	7155	5219	2538872		242978	shows	1
0-saiji Start Dash Monogatari Season 2	19119	185462	34104	head-start-at-birth-season-2	20003	14832		0-saiji-start-dash-monogatari-season-2	25164	49405	12952	60425	0-saiji+start+dash+monogatari+season+2	13076	yKzQZcVHR	2969	60425	7340	5454	2743494		242978	shows	2
0-sen Hayato	5121	12763		zero-sen-hayato	4236	9840		0-sen-hayato	6814	6806	9148	12763	0-sen+hayato	6956	V7XNpFmmR		12763			37161				
0-sen Hayato Pilot				zero-sen-hayato-pilot				0-sen-hayato-pilot	6811	12585		33978	0-sen+hayato+pilot	7025	0-7i2Fmmg		33978							
001	11392	102065		001	10940			001	356	10459	5922	29978	001	7026	QcE8tKiiR		29978			1572803	434326	281208	movies	
009 Re:Cyborg	8699	11755	13645	009-re-cyborg	7334	3372	tt2078523	009-recyborg	6815	6588	966	11755	009+re-cyborg	3206	nX_ItFiiR		11755	3269		41092				
009 Re:Cyborg x NTV ZIP!				009-re-cyborg-x-ntv-zip																				
009 Re:Cyborg x Zip								009-recyborg-x-zip	6817	12326		32737			FnzzhKmiR		32737							
009-1	4637	1583	6862	009-1	3618	9115		009-1	4918	1423	5478	1583	009-1	2485	57Ua5KmmR		1583	1019		41032		34686	shows	1
009-1 Pilot Movie												56367					56367							
009-1: R&B		3234		009-1-rb	8351			009-1-rb	4919	2876	6967	3234			VHHwcFiig		3234							
00:08	11391	99948		00-08	10941			0008	2372	10157	6565	28761	00-08	7207	PMAypFmmg		28761			1572801				
07-Ghost	6239	5525	10468	07-ghost	5170	1069		07-ghost	625	4135	3897	5525	07-ghost	1262	Rgxj5KmmR	1448	5525	1587		40103		44057	shows	1
0X1=Lovesong (I Know I Love You)												57313					57313							
1 Cho		170631		1-second								57101	1+cho	12440			57101							
1 Fenzhong Donghua Juchang				1-fenzhong-donghua-juchang								61749					61749							
1 more night feat. Monkey Majik					6768																			
1 Pound no Fukuin	2900	1328	706	one-pound-gospel	175	3833	tt0160394	1-pound-no-fukuin	22207	1185	6895	1328			NsUbcKimR		1328			38252				
1 Year		111942		pinocchio-p-1year						49587		58098					58098							
1+2=Paradise	3978	2730	3226	1-2-paradise	212	12018	tt0331810			2490	5693	2730	1-2-paradise	3728	gaXycKiiR		2730			36123				
1,2,3,4,				1-2-3-4																				
1-gatsu ni wa Christmas	2769	6060	2703	christmas-in-january	1072	2530	tt1874537	1-gatsu-ni-wa-christmas		4402		6060	1-gatsu+ni+wa+christmas	10228	na2q5FmmR		6060			37752				
1-nen 1-kumi				1-nen-1-kumi						9747		27853			g8sLtKimg		27853							
1-nensei Daikatsuyaku DVD: Mirai no Shougakkou Tanken				1-nensei-daikatsuyaku-dvd-mirai-no-shougakkou-tanken								54427					54427							
1-ri Botchi no Ookami to 7-hiki no Ko Yagi				1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi				1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi		13015		34190			L6uW2Fimg		34190							
1/100 Rice Planting		102528		1-100-rice-planting				1100-rice-planting	3528	14222		36745			mckD2Fmig		36745							
1/100 Shibuya Crossing		103464		1-100-shibuya-crossing				1100-shibuya-crossing	3526	14231		36746			dWiDhKimg		36746							
1/100 Train Station		103463		1-100-train-station				1100-train-station	3525	14232		36747			AIiv2KimR		36747							
10-piki no Kaeru				juupiki-no-kaeru						9792		27845			Gh9LtKiiR		27845							
10-pun de Oitsukeru: Attack on Titan				10-pun-de-oitsukeru-attack-on-titan	18614					47129														
10-shuunen da yo! Chibi Maruko-chan				10-shuunen-da-yo-chibi-maruko-chan				10-shuunen-da-yo-chibi-maruko-chan				51271					51271							
100 Gaji Gobaeg					19395							57472					57472							
100 Manten☆Pax Salomena										47793		55408					55408							
100%	5308	7374	18048	a-hundred-percents	4357			100		4954		7374	100-	3729	Q0_RtFmmg		7374			40142				
100% feat Nerissa Ravencroft										49573		61299					61299							
100% no Uta												58175					58175							
100% Pascal-sensei	13560	188038		100-pascal-sensei	12221	12162		100-pascal-sensei	6755	13412	8979	35447			vBY7hFmig		35447			733753				
100% Pascal-sensei (TV)	12410	97638	19094	100-pascal-sensei-2017	12412			100-pascal-sensei-tv	6756	13433	2519	34052	100-+pascal-sensei+(tv)	7722	WIs7hKmig		34052			617105		118275	shows	1
100% Perfect Love										45810														
100% Renewable Energy		121960		wwf-100-renewable-energy				100-renewable-energy	3524	42707		39208					39208					569820	movies	
100-man no Inochi no Ue ni Ore wa Tatteiru	15415	116242	23492	im-standing-on-a-million-lives	15039	7381		100-man-no-inochi-no-ue-ni-ore-wa-tatteiru	23	43367	9789	41380	100-man+no+inochi+no+ue+ni+ore+wa+tatte+iru+2	9927	HA7U15uZg	1736	41380	5758	1942	1292945		162895	shows	1
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season	15930	127366	23853	im-standing-on-a-million-lives-2nd-season	15821	7874		100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-2nd-season	24	43883	10277	44881			EIjvrCJGR	1934	44881	6044	2446	1505135		162895	shows	2
100-man no Inochi no Ue ni Ore wa Tatteiru Recap				im-standing-on-a-million-lives-recap				100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-recap	732	48513		48976					48976							
100-man-nen Chikyuu no Tabi: Bander Book	2991	5133	3291	one-million-year-trip-bander-book	3435	8275	tt0431960	100-man-nen-chikyuu-no-tabi-bander-book		3943	12035	5133	100-man-nen+chikyuu+no+tabi-+bander+book	11921	ib99cKmmg		5133			41005				
100-mankai Umarekawattemo												62045					62045							
100-mannen no Shiawase!!					20319							61102					61102							
100-nen Jidai												56934					56934							
100-nichikan Ikita Wani	15455	116740	24052	100-nichikan-ikita-wani	15987	8173		100-nichikan-ikita-wani		47402	9850	48352			XKYE4XlMR		48352		2849	1301567		673343	movies	
100-nichikan Ikita Wani X Bourbon								100-nichikan-ikita-wani-x-bourbon		47403		49414					49414							
1000-mankai Hug Nanda		158914		dialogue-1000-mankai-hug-nanda	17960	10256		1000-mankai-hug-nanda	22382			53917					53917							
1000-nen Joou: Queen Millennia	764	1549	1780	queen-millennia-movie	807	6995		1000-nen-joou-queen-millennia		1390	7164	1549	1000-nen+joou+-+queen+millennia	5507	bex-5KiiR		1549	2508		38015				
10000-Kounen Sougankyou					16306																			
1001 Nights	5499	3914		1001-nights	3764		tt0193688	1001-nights	6753	3345	6793	3914	1001+nights	3422	iiu_cFmiR		3914			41715				
10p.m.										44612														
11-gatsu Umare no Otokonoko no Tame ni.		128059		dear-november-boy				11-gatsu-umare-no-otokonoko-no-tame-ni		43922		48313					48313							
11-nin Iru!	1869	1901	760	they-were-eleven	2234	4817	tt0091309	11-nin-iru	2415	1711	5913	1901			_9jBcKmmg		1901	1017		41699		17542	movies	
11-piki no Neko	4944	6071	1468	11-piki-no-neko	3890	10927	tt0373944			4411		6071			_UT35KmmR		6071			41166				
11-piki no Neko Marathon Taikai										48626		58344					58344							
11-piki no Neko to Ahoudori	4945	6072	1643	11-piki-no-neko-to-ahoudori	3920	10928		juuippiki-no-neko-to-ahoudori		4412		6072			XrTqcFmiR		6072			40586				
112 Sabsections of Skyline		112038		112-sabsections-of-skyline				112-sabsections-of-skyline	7222	42761		39286					39286							
1135					19733					49288		60145					60145							
11:08		121678		1108	11273			1108		46728		51078					51078							
11eyes	6751	6682	10935	11eyes	5468	124				4662	3715	6682			trb6cKimR		6682	1749		38606		44065	shows	1
11eyes Picture Drama		110465		11eyes-picture-drama				11eyes-picture-drama	934	8495	6934	20557	11eyes+picture+drama	3693	Pcx0tFmmg		20557							
11eyes: Momoiro Genmutan		7739	11226	11eyes-special	6123	14149				5102	4326	7739			2CpzpKimg		7739							
12 Shengxiao Guanjiafu: Wangluo Shijie Lixian				12-shengxiao-guanjiafu-wangluo-shijie-lixian				12-shengxiao-guanjiafu-wangluo-shijie-lixian				43858					43858							
12 Shengxiao Quanjiafu de Shenqi Shijie				12-shengxiao-quanjiafu-de-shenqi-shijie				12-shengxiao-quanjiafu-de-shenqi-shijie				43852					43852							
12 Zhi Wenzi He 5 Geren		150597		12-zhi-wenzi-he-5-geren				12-zhi-wenzi-he-5-geren				43912					43912							
12-gatsu no Uta	11302	99211		12-gatsu-no-uta	10289			12-gatsu-no-uta	3523	10365		29411			9MO8pFmiR		29411			503794				
12-sai.		20716	16113	12-sai		5990		12-sai	776	8481		23579	12-sai.	3393	1BAApFiiR		23579							
12-sai. 2nd Season				12-sai-2nd-season		5991		12-sai-2nd-season	777	11309	6540	31319	12-sai.+2nd+season	5178	1uN9pKimR		31319							
12-sai. Kiss, Kirai, Suki	10584	20716			9589	5990						23579					23579			49324				
12-sai.: Chicchana Mune no Tokimeki	11899	21609	18049	12-sai-chiccha-na-mune-no-tokimeki	11128	4675		12-sai-chicchana-mune-no-tokimeki	778	11782	2009	32601	12-sai.+-+chicchana+mune+no+tokimeki+2	5735	JWa3tKmig	294	32601	4146		554568		93852	shows	1
12-sai.: Chicchana Mune no Tokimeki 2nd Season	12198	21839	18702	12-sai-chiccha-na-mune-no-tokimeki-2	11502	4884		12-sai-chicchana-mune-no-tokimeki-2nd-season	779	12270	2212	33419			rE8ghFiiR	565	33419	4345		591505				
12-Sai.: Kiss, Kirai, Suki											447													
12-wol				heewon-jang-december								51344					51344							
123		145323		123				123		41719		37065					37065							
15 Bishoujo Hyouryuuki		5762	10352		5133							5762					5762							
15 no Yoru					20486																			
15 Sonyeon Uju Pyoryugi	9629	18305		15-sonyeon-uju-pyoryugi	8651			15-sonyeon-uju-pyoryugi		8818	7078	18305			8tZbtKimR		18305			1572565				
15 Step		115402		radiohead-15-step				15-step	22290	46705		48881					48881							
15-fun de Wakaru: Inazuma Eleven - Ares no Tenbin				15-fun-de-wakaru-inazuma-eleven-ares-no-tenbin				15-fun-de-wakaru-inazuma-eleven-ares-no-tenbin	7229															
15-fun de Wakaru: Tower of God				15-fun-de-wakaru-tower-of-god																				
15-pun de Oitsukeru: Attack on Titan				15-pun-de-oitsukeru-attack-on-titan	18609					47130														
15-sai, Kyou kara Dousei Hajimemasu.	14129	103886		15-years-old-starting-today-well-be-living-together	13675	6826		15-sai-kyou-kara-dousei-hajimemasu	3522	41478	3331	38019	15-sai,+kyou+kara+dousei+hajimemasu.	7967	4Ofr83dmg		38019			838191				
15th Anniversary Short Animation: Battle Spirits Shounen Toppa Bashin x Saikyou Ginga Ultimate Zero Battle Spirits		169319																						
16bit Sensation: Another Layer	17802	159559	26787	16bit-sensation-another-layer	18311	10366		16bit-sensation-another-layer	22383	46934	11764	54041			aJF4Gwt4R	2635	54041	6848	4890	2066922		201291	shows	1
171 Eru: Majo Le Septet				171-eru-majo-le-septet						42942														
180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?	16285	133411	24351	180-byou-de-kimi-no-mimi-wo-shiawase-ni-dekiru-ka	16253	8414		180-byou-de-kimi-no-mimi-wo-shiawase-ni-dekiru-ka	429	44574	10564	48858	180+byou+de+kimi+no+mimi+wo+shiawase+ni+dekiru+ka-	10356	Cp4O1hjGg	1996	48858	6142	2944	1625663		180534	shows	1
183 no Nippon Très Bien Rock 'n' Roll					13428																			
189D3 / Pentium				189d3-pentium																				
18if	12576	98512	19410	18-if	12396	5234		18if	636	13281	2439	35248			2tG72KmmR	865	35248	4641	2022	640257		118265	shows	1
18X										44504														
19 Tian		185583		19-days				19-tian	7014			51915					51915							
1985										47451		55204					55204							
1989	11393	102987		the-pillows-1989	10909			1989	3521	10747		30234			rirQpKiiR		30234			1572805				
1LDK + JK Ikinari Doukyo? Micchaku!? Hatsu Ecchi!!?		161680			18352							55003					55003		4881					
2				dalljub-step-club-2				2		42834		38756					38756							
2-tsu no Yubiwa		178671										56979					56979							
2.43 Mini Anime: Fukui-ben Kouza		128527		243-seiin-high-school-boys-volleyball-team-fukui-ben-kouza				243-mini-anime-fukui-ben-kouza	730	48511	10338	46003			tMhdAWfGR		46003							
2.43 Mini Anime: Inside Story		128526		243-seiin-high-school-boys-volleyball-team-inside-story				243-mini-anime-inside-story	734	48512	10337	46004			QJmTAWfGg		46004							
2.43 Mini Anime: Volleyball Kouza		128398		243-seiin-high-school-boys-volleyball-team-volleyball-kouza-hen				243-mini-anime-volleyball-kouza	733	48495	10339	45585			wYAw0ZBGg		45585							
2.43: Seiin Koukou Danshi Volley-bu	15257	113231	23487	243-seiin-high-school-boys-volleyball-team	14759	7604		243-seiin-koukou-danshi-volley-bu	637	43464	9670	40679	2.43+seiin+koukou+danshi+volley-bu	9129	ydDu5JZMR	1830	40679	5864	1928	1202093		167620	shows	1
2.43: Seiin Koukou Danshi Volley-bu Mini Anime		128397		243-seiin-high-school-boys-volleyball-team-mini-anime	20532			243-seiin-koukou-danshi-volley-bu-mini-anime	735	44065	10324	46000			T6JfAZBMR		46000							
2.5-jigen no Ririsa	17760	158559	26712	25-dimensional-seduction	17929	10235				46842	11718	53802	2.5-jigen+no+ririsa+2	13143	usH9wqFVR	2746	53802	7124	5231	2054506		200638	shows	1
2.5-jigen no Ririsa 2nd Season	19047	185515	34167	25-dimensional-seduction-season-2	19938	14902				49403	12967	60510			rjg7QNSNR		60510			2660010				
20-dai no Heya-hen	11394			20-dai-no-heya-hen	10587			20-dai-no-heya-hen	7232	10236		29347			d1QytFiig		29347			1572807				
20-pun de Oitsukeru: Attack on Titan				20-pun-de-oitsukeru-attack-on-titan	18451					47131														
2002 Civic												59339					59339							
2002-nen Halmeoni Ondo	12813	116708		2002-nen-baachan-ondo				2002-nen-halmeoni-ondo		11522		31874			r22jpKiiR		31874			682591				
2005								2005				54066					54066							
2005-nen Uchuu no Tabi	11398	104092		2005-nen-uchuu-no-tabi	10939			2005-nen-uchuu-no-tabi	2373	10040	8130	28339			bJCPtFmig		28339			688121				
2010	12218	104344		the-telephones-2010	12749			2010		12066		32813			J8u6pFmig		32813			1572953				
2015 Chunjie Dongman Da Lianhuan				2015-chunjie-dongman-da-lianhuan				2015-chunjie-dongman-da-lianhuan				47210					47210							
2020 Nyeon Ujuui Wonder Kiddy	9707	16696		2020-nyeon-ujuui-wonder-kiddy	8918			2020-nyeon-ujuui-wonder-kiddy		7493	7125	16696			o8eKtFimR		16696			752715				
2020 Yige Changge de Lao Tie												59539					59539							
2023 Paper-fortune Report												58446					58446							
2024 Arknights Yinlu Lian Jue: Bumi Langchen Xiandao Yugao		185780										60611					60611							
2025 Arknights Music Synesthesia - Yiqu Fengbei												61320					61320							
2049＋Jue Chu Feng Sheng					16804																			
20:55										44059														
20min Walk From Nishi-Ogikubo Station				20min-walk-from-nishi-ogikubo-station	10061																			
21 Emon	4922	5628	1041	21-emon	4024	1522		21-emon-1	5129	4209		5628	21+emon	6816	MbYC5Fmig		5628			576813				
21 Emon & Doraemon: Youkoso!! Hotel Tsuzureya e				21-emon-and-doraemon-youkoso-hotel-tsuzureya-e		13983						59847					59847							
21 Emon Uchuu e Irasshai!	5323	6073	9118	21-emon-uchuu-e-irasshai	4375	11697		21-emon-uchuu-e-irasshai		4413		6073			NzAq5KmiR		6073			36785				
21 Emon Uchuu ike! Hadashi no Princess	4943	6074	4538	21-emon-sora-ike-hadashi-no-princess	4047	11711		21-emon-uchuu-ike-hadashi-no-princess		4414		6074			HnAq5Fiig		6074			1571729				
21-ji no Onna: Newscaster Katsuragi Miki		2863	2047		2865							2863					2863							
21-seiki				21-seiki				21-seiki				51524					51524							
21-seiki Manga Hajimete Monogatari	4965	10139	7546	21-seiki-manga-hajimete-monogatari	4067	13672		21-seiki-manga-hajimete-monogatari		6053		10139			j_hntFimg		10139			1571745				
21-seiki wa Minna ga Shuyaku				21-seiki-wa-minna-ga-shuyaku				21-seiki-wa-minna-ga-shuyaku		41549		35242					35242							
22/7	13299	99807	22353	22-7	14628	6813		227	2416	42456	9532	40148	22-7	7116	L1OeO5vZR	1651	40148	5540	364	704147		155137	shows	1
22/7: 8＋3=?		114249	23687	22-7-8-plus-3	15159	7719		227-83	3211	43285	9736	40924			APhTXkQZR		40924		1038					
2200-nen Neko no Kuni Nippon	19518																							
23 Hao Niu Nai Tang				23-hao-niu-nai-tang				23-hao-niu-nai-tang				48010					48010							
23-ji no Saga Meshi Anime			24383	23-ji-no-saga-meshi-anime		7972		23-ji-no-saga-meshi-anime		47089		47426					47426							
23.exe: Feel so good				23-exe-feel-so-good																				
23.exe: M1KU				23-exe-m1ku																				
23.exe: ochatime				23-exe-ochatime																				
23.exe: TYFW				23-exe-tyfw																				
23:60				2360								54453					54453							
23rd Japan Media Arts Festival Introduction		138993		japan-media-arts-festival-2019-introduction-animation						45502		42845					42845							
24-pun de Wakaru: Sengoku Youko - Sen Ma Konton-hen - Zenhan					20207																			
24H		15527						24h				15527					15527							
25-fun de Wakaru Tegata Kogitte no Hanashi				25-bu-de-wakaru-tegata-kogitte-no-hanashi		11886		25-bu-de-wakaru-tegata-kogitte-no-hanashi				52090					52090							
25-pun de Oitsukeru: Shingeki no Kyojin								20-pun-de-oitsukeru-shingeki-no-kyojin	4921	47259														
25-sai no Joshikousei		100635	20391	25-year-old-high-school-girl-i-wouldnt-do-this-with-a-kid	13051	5604				14094	2983	36840	25-sai+no+joshi+kousei	7446	Th1H2KimR	987	36840	4819				126102	shows	1
26 Ge Mimi				26-ge-mimi				26-ge-mimi				43888					43888							
27th		127797		natsu-to-suisei-27th	20052			27th	7243	49814		49005					49005							
29-sai Dokushin Chuuken Boukensha no Nichijou	19324	192261	36012	29-sai-dokushin-chuuken-boukensha-no-nichijou	20479					49903	13162	61637	29-sai+dokushin+chuuken+boukensha+no+nichijou	13402		3128	61637			2773404				
2U feat. A Boogie Wit Da Hoodie												57201					57201							
2wink: Swee2wink Love Letter				2wink-swee2wink-love-letter																				
2x1		2864	1353		1855							2864					2864							
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!	5334	12589	1777	3-choume-no-tama-onegai-momo-chan-wo-sagashite	4384	11754		3-choume-no-tama-onegai-momo-chan-wo-sagashite		6770		12589	san+choume+no+tama+-+onegai!+momo-chan+wo+sagashite!!	7724	gQYHpFmig		12589			608481				
